"course_key","course_name","tee_name","tee_color","gender","course_rating","slope_rating","total_yards","source_url","notes"
"sedona-golf-resort","Sedona Golf Resort","Blue","Blue","M","70.6","128","6646","https://mysliceofgolf.blogspot.com/2013/02/the-ridge-at-sedona-golf-resort.html","Readable Sedona Golf Resort scorecard image."
"sedona-golf-resort","Sedona Golf Resort","White","White","M","68.2","120","6127","https://mysliceofgolf.blogspot.com/2013/02/the-ridge-at-sedona-golf-resort.html","Readable Sedona Golf Resort scorecard image."
"sedona-golf-resort","Sedona Golf Resort","White","White","F","75.0","145","6127","https://mysliceofgolf.blogspot.com/2013/02/the-ridge-at-sedona-golf-resort.html","Readable Sedona Golf Resort scorecard image."
"sedona-golf-resort","Sedona Golf Resort","Gold","Gold","M","66.1","115","5652","https://mysliceofgolf.blogspot.com/2013/02/the-ridge-at-sedona-golf-resort.html","Readable Sedona Golf Resort scorecard image."
"sedona-golf-resort","Sedona Golf Resort","Gold","Gold","F","72.6","137","5652","https://mysliceofgolf.blogspot.com/2013/02/the-ridge-at-sedona-golf-resort.html","Readable Sedona Golf Resort scorecard image."
"sedona-golf-resort","Sedona Golf Resort","Red","Red","F","69.6","128","5075","https://mysliceofgolf.blogspot.com/2013/02/the-ridge-at-sedona-golf-resort.html","Readable Sedona Golf Resort scorecard image."
"oakcreek-country-club","Oakcreek Country Club","Black","Black","M","72.0","134","6824","https://oakcreekcc.com/course-details/","Official Oakcreek Country Club ratings table and scorecard image."
"oakcreek-country-club","Oakcreek Country Club","Blue","Blue","M","69.7","128","6353","https://oakcreekcc.com/course-details/","Official Oakcreek Country Club ratings table and scorecard image."
"oakcreek-country-club","Oakcreek Country Club","White","White","M","67.7","123","5965","https://oakcreekcc.com/course-details/","Official Oakcreek Country Club ratings table and scorecard image."
"oakcreek-country-club","Oakcreek Country Club","White","White","F","73.3","137","5965","https://oakcreekcc.com/course-details/","Official Oakcreek Country Club ratings table and scorecard image."
"oakcreek-country-club","Oakcreek Country Club","Gold","Gold","M","65.8","114","5579","https://oakcreekcc.com/course-details/","Official Oakcreek Country Club ratings table and scorecard image."
"oakcreek-country-club","Oakcreek Country Club","Gold","Gold","F","70.6","114","5579","https://oakcreekcc.com/course-details/","Official Oakcreek Country Club ratings table and scorecard image."
"oakcreek-country-club","Oakcreek Country Club","Gold/Teal Combo","Combo","M","63.5","109","5058","https://oakcreekcc.com/course-details/","Official Oakcreek Country Club ratings table and scorecard image."
"oakcreek-country-club","Oakcreek Country Club","Gold/Teal Combo","Combo","F","68.1","126","5058","https://oakcreekcc.com/course-details/","Official Oakcreek Country Club ratings table and scorecard image."
"oakcreek-country-club","Oakcreek Country Club","Teal","Teal","M","61.6","103","4419","https://oakcreekcc.com/course-details/","Official Oakcreek Country Club ratings table and scorecard image."
"oakcreek-country-club","Oakcreek Country Club","Teal","Teal","F","61.6","116","4419","https://oakcreekcc.com/course-details/","Official Oakcreek Country Club ratings table and scorecard image."
"seven-canyons-golf-club","Seven Canyons Golf Club","Weiskopf","Weiskopf","M","71.8","142","6858","https://sevencanyons.com/documents/20124/47310/SevenCanyons_Scorecard.pdf","Official Seven Canyons scorecard PDF."
"seven-canyons-golf-club","Seven Canyons Golf Club","Weiskopf/Member","Combo","M","70.6","139","6689","https://sevencanyons.com/documents/20124/47310/SevenCanyons_Scorecard.pdf","Official Seven Canyons scorecard PDF."
"seven-canyons-golf-club","Seven Canyons Golf Club","Member","Member","M","70.0","136","6418","https://sevencanyons.com/documents/20124/47310/SevenCanyons_Scorecard.pdf","Official Seven Canyons scorecard PDF."
"seven-canyons-golf-club","Seven Canyons Golf Club","Member","Member","F","76.0","155","6418","https://sevencanyons.com/documents/20124/47310/SevenCanyons_Scorecard.pdf","Official Seven Canyons scorecard PDF."
"seven-canyons-golf-club","Seven Canyons Golf Club","Member/Regular","Combo","M","68.6","131","6219","https://sevencanyons.com/documents/20124/47310/SevenCanyons_Scorecard.pdf","Official Seven Canyons scorecard PDF."
"seven-canyons-golf-club","Seven Canyons Golf Club","Member/Regular","Combo","F","74.0","155","6219","https://sevencanyons.com/documents/20124/47310/SevenCanyons_Scorecard.pdf","Official Seven Canyons scorecard PDF."
